route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
SIM35,MA_B1-Weekday,MA_B1-Weekday-052300_MISC_666,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM3,MA_B1-Weekday,MA_B1-Weekday-051500_SIM34_602,MIDTOWN via 23 ST via 6 AV,0,SIM30106
SIM3,MA_B1-Weekday,MA_B1-Weekday-047500_MISC_661,MIDTOWN via 23 ST via 6 AV,0,SIM30106
SIM34,MA_B1-Weekday,MA_B1-Weekday-031000_SIM34_601,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-034000_MISC_658,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-036500_MISC_663,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-040100_SIM34_603,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-043300_MISC_672,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-044700_SIM34_601,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-046700_MISC_658,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-054000_SIM34_603,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-091500_MISC_664,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-098000_SIM15_608,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-105500_MISC_664,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-089500_MISC_667,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-093500_SIM34_603,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-095000_MISC_671,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-096000_MISC_673,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-104500_MISC_667,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-106500_SIM34_603,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-109000_MISC_671,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-110500_MISC_673,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-037500_SIM34_602,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-102700_SIM34_602,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-101100_SIM34_601,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM34,MA_B1-Weekday,MA_B1-Weekday-035500_MISC_661,SOHO HOUSTON ST via CHURCH ST,0,SIM340075
SIM34,MA_B1-Weekday,MA_B1-Weekday-107500_MISC_660,MARINERS HARBOR via WATCHOGUE RD,1,SIM340081
SIM4X,MA_B1-Weekday,MA_B1-Weekday-039000_SIM4X_602,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-045000_MISC_673,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-099000_MISC_651,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-105000_MISC_665,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-109000_MISC_668,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-037000_SIM4X_601,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-041000_MISC_669,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-043000_MISC_670,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-047000_MISC_678,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-049000_SIM4X_601,DWNTWN WORTH ST via PK & RIDE via CHURCH,0,SIM4X0044
SIM4X,MA_B1-Weekday,MA_B1-Weekday-097000_MISC_668,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-101000_SIM4X_601,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-111000_SIM4X_602,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-107000_MISC_666,PARK AND RIDE SI MALL,1,SIM4X0030
SIM4X,MA_B1-Weekday,MA_B1-Weekday-103000_MISC_655,PARK AND RIDE SI MALL,1,SIM4X0030
SIM33,MA_B1-Weekday,MA_B1-Weekday-090000_MISC_669,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-111500_SIM33_603,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-109500_MISC_674,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-043000_SIM33_604,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-047000_MISC_679,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-103000_MISC_661,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-098500_MISC_678,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-032000_SIM33_601,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-107500_MISC_672,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-030000_MISC_653,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-036000_MISC_662,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-039000_MISC_668,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-044000_MISC_653,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-045500_SIM33_601,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-037500_MISC_665,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-042000_SIM33_603,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-053000_MISC_665,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-051000_MISC_662,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-092000_SIM33_602,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-097000_SIM33_603,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-101500_SIM33_601,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-114000_SIM33_604,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-100000_SIM33_604,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-104500_MISC_669,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-034000_MISC_657,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-094000_MISC_672,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-049000_MISC_657,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-040500_SIM33_602,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM330061
SIM33,MA_B1-Weekday,MA_B1-Weekday-106000_SIM33_602,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-095500_MISC_674,MARINERS HARBOR via N GANNON AV,1,SIM330081
SIM33,MA_B1-Weekday,MA_B1-Weekday-088000_SIM32_601,MARINERS HARBOR via N GANNON AV,1,SIM330081
