"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"4","C0F43128","GO701_21_2025","Penn Station","2025","1","A119BF5D"
"4","C0F43128","GO701_21_2031","Atlantic Terminal","2031","1","B751916A"
"4","C0F43128","GO701_21_2033","Penn Station","2033","1","A119BF5D"
"4","C0F43128","GO701_21_2035","Penn Station","2035","1","A119BF5D"
"4","C0F43128","GO701_21_2037","Penn Station","2037","1","A119BF5D"
"4","C0F43128","GO701_21_2039","Penn Station","2039","1","A119BF5D"
"4","C0F43128","GO701_21_2041","Penn Station","2041","1","A119BF5D"
"4","C0F43128","GO701_21_2050","Ronkonkoma","2050","0","A119BF5D"
"4","C0F43128","GO701_21_2051","Penn Station","2051","1","A119BF5D"
"4","C0F43128","GO701_21_2052","Ronkonkoma","2052","0","A119BF5D"
"4","C0F43128","GO701_21_2053","Penn Station","2053","1","A119BF5D"
"4","C0F43128","GO701_21_2054","Ronkonkoma","2054","0","A119BF5D"
"4","C0F43128","GO701_21_2055","Penn Station","2055","1","A119BF5D"
"4","C0F43128","GO701_21_2056","Ronkonkoma","2056","0","A119BF5D"
"4","C0F43128","GO701_21_2057","Penn Station","2057","1","A119BF5D"
"4","C0F43128","GO701_21_2058","Ronkonkoma","2058","0","A119BF5D"
"4","C0F43128","GO701_21_2059","Penn Station","2059","1","A119BF5D"
"4","C0F43128","GO701_21_2060","Ronkonkoma","2060","0","A119BF5D"
"4","C0F43128","GO701_21_2061","Penn Station","2061","1","A119BF5D"
"4","C0F43128","GO701_21_2062","Ronkonkoma","2062","0","A119BF5D"
"4","C0F43128","GO701_21_2063","Penn Station","2063","1","A119BF5D"
"4","C0F43128","GO701_21_2064","Ronkonkoma","2064","0","A119BF5D"
"4","C0F43128","GO701_21_2065","Penn Station","2065","1","A119BF5D"
"4","C0F43128","GO701_21_2066","Ronkonkoma","2066","0","A119BF5D"
"4","C0F43128","GO701_21_2067","Penn Station","2067","1","A119BF5D"
"4","C0F43128","GO701_21_2069","Penn Station","2069","1","A119BF5D"
"4","C0F43128","GO701_21_2070","Ronkonkoma","2070","0","A119BF5D"
"4","C0F43128","GO701_21_2071","Penn Station","2071","1","A119BF5D"
"4","C0F43128","GO701_21_2072","Ronkonkoma","2072","0","A119BF5D"
"4","C0F43128","GO701_21_2073","Penn Station","2073","1","A119BF5D"
"4","C0F43128","GO701_21_2075","Penn Station","2075","1","A119BF5D"
"4","C0F43128","GO701_21_2076","Ronkonkoma","2076","0","B751916A"
"4","C0F43128","GO701_21_2078","Ronkonkoma","2078","0","A119BF5D"
"4","C0F43128","GO701_21_2080","Ronkonkoma","2080","0","A119BF5D"
"4","C0F43128","GO701_21_2082","Ronkonkoma","2082","0","A119BF5D"
"4","C0F43128","GO701_21_2086","Ronkonkoma","2086","0","A119BF5D"
"4","C0F43128","GO701_21_2088","Ronkonkoma","2088","0","A119BF5D"
"4","C0F43128","GO701_21_2090","Ronkonkoma","2090","0","A119BF5D"
"4","C0F43128","GO701_21_2091","Penn Station","2091","1","A119BF5D"
"4","C0F43128","GO701_21_2092","Ronkonkoma","2092","0","A119BF5D"
"4","C0F43128","GO701_21_2094","Ronkonkoma","2094","0","A119BF5D"
"4","C0F43128","GO701_21_2096","Ronkonkoma","2096","0","B751916A"
"4","C0F43128","GO701_21_2098","Ronkonkoma","2098","0","A119BF5D"
"4","C0F43128","GO701_21_2099","Penn Station","2099","1","A119BF5D"
"4","C0F43128","GO701_21_2303","Penn Station","2303","1","2E47A9D2"
"4","C0F43128","GO701_21_2309","Penn Station","2309","1","2E47A9D2"
"4","C0F43128","GO701_21_2317","Penn Station","2317","1","2E47A9D2"
"4","C0F43128","GO701_21_2391","Penn Station","2391","1","2E47A9D2"
"10","C0F43128","GO701_21_2401","Penn Station","2401","1","D6588778"
"10","C0F43128","GO701_21_2403","Penn Station","2403","1","D6588778"
"5","C0F43128","GO701_21_2701","Babylon","2701","1","CA28D4CD"
"5","C0F43128","GO701_21_2702","Montauk","2702","0","6FC07A46"
"5","C0F43128","GO701_21_2703","Long Island City","2703","1","D22553AC"
"5","C3241B32","GO701_21_2704","Montauk","2704","0","CA28D4CD"
"5","2D469D5C","GO701_21_2705","Hunterspoint Avenue","2705","1","3942B585"
"5","C3241B32","GO701_21_2706","Montauk","2706","0","03FFAF24"
"5","C0F43128","GO701_21_2707","Jamaica","2707","1","03FFAF24"
"5","C5306FBE","GO701_21_2708","Montauk","2708","0","3942B585"
"5","C0F43128","GO701_21_2709","Jamaica","2709","1","03FFAF24"
"5","9B3D7859","GO701_21_2710","Montauk","2710","0","23CBFE7A"
"5","C0F43128","GO701_21_2711","Jamaica","2711","1","03FFAF24"
"5","C0F43128","GO701_21_2712","Montauk","2712","0","3942B585"
"5","C5306FBE","GO701_21_2714","Montauk","2714","0","23CBFE7A"
"5","C0F43128","GO701_21_2716","Montauk","2716","0","03FFAF24"
"5","C0F43128","GO701_21_2720","Montauk","2720","0","03FFAF24"
"5","79236F41","GO701_21_2730","Speonk","2730","0","C47E4DA6"
"5","C0F43128","GO701_21_2731","Babylon","2731","1","C47E4DA6"
"5","C0F43128","GO701_21_2734","Speonk","2734","0","C47E4DA6"
"5","C5306FBE","GO701_21_2736","Speonk","2736","0","2C29C908"
"5","C0F43128","GO701_21_2737","Penn Station","2737","1","C37658D7"
"5","C0F43128","GO701_21_2738","Speonk","2738","0","C47E4DA6"
"5","C0F43128","GO701_21_2739","Hunterspoint Avenue","2739","1","C18B6DA7"
"5","C3241B32","GO701_21_2740","Speonk","2740","0","C37658D7"
"5","C0F43128","GO701_21_2741","Babylon","2741","1","C47E4DA6"
"5","C0F43128","GO701_21_2743","Jamaica","2743","1","2C29C908"
"5","C0F43128","GO701_21_2744","Speonk","2744","0","C47E4DA6"
"5","C5306FBE","GO701_21_2745","Jamaica","2745","1","2C29C908"
"5","C0F43128","GO701_21_2746","Speonk","2746","0","C47E4DA6"
"5","C0F43128","GO701_21_2747","Jamaica","2747","1","2C29C908"
"5","C0F43128","GO701_21_2749","Babylon","2749","1","C47E4DA6"
"5","C0F43128","GO701_21_2761","Babylon","2761","1","7A51E605"
"5","C0F43128","GO701_21_2762","Patchogue","2762","0","7A51E605"
"5","C0F43128","GO701_21_2764","Patchogue","2764","0","4FA72919"
"5","C0F43128","GO701_21_2765","Babylon","2765","1","7A51E605"
"5","C0F43128","GO701_21_2766","Patchogue","2766","0","7A51E605"
"5","C0F43128","GO701_21_2767","Babylon","2767","1","7A51E605"
"5","C0F43128","GO701_21_2768","Patchogue","2768","0","7A51E605"
"5","C0F43128","GO701_21_2769","Babylon","2769","1","7A51E605"
"5","C0F43128","GO701_21_2770","Patchogue","2770","0","7A51E605"
"5","C0F43128","GO701_21_2771","Babylon","2771","1","7A51E605"
"5","C0F43128","GO701_21_2772","Patchogue","2772","0","564107BD"
"5","C3241B32","GO701_21_2773","Babylon","2773","1","7A51E605"
"5","C0F43128","GO701_21_2774","Patchogue","2774","0","7A51E605"
"5","C0F43128","GO701_21_2775","Babylon","2775","1","7A51E605"
"5","C0F43128","GO701_21_2779","Babylon","2779","1","7A51E605"
"5","C0F43128","GO701_21_2780","Patchogue","2780","0","7A51E605"
"5","C0F43128","GO701_21_2781","Babylon","2781","1","7A51E605"
"5","C0F43128","GO701_21_2782","Patchogue","2782","0","7A51E605"
"5","C5306FBE","GO701_21_2784","Patchogue","2784","0","4FA72919"
"5","C5306FBE","GO701_21_2786","Patchogue","2786","0","7A51E605"
"5","C0F43128","GO701_21_2791","Penn Station","2791","1","5F984434"
"5","C5306FBE","GO701_21_2794","Montauk","2794","0","CA28D4CD"
"5","C5306FBE","GO701_21_2796","Montauk","2796","0","03FFAF24"
"5","C5306FBE","GO701_21_2798","Montauk","2798","0","23CBFE7A"
"7","C0F43128","GO701_21_2800","Far Rockaway","2800","0","7703FCEC"
"7","C0F43128","GO701_21_2801","Atlantic Terminal","2801","1","7703FCEC"
"7","C0F43128","GO701_21_2802","Far Rockaway","2802","0","7703FCEC"
"7","C0F43128","GO701_21_2803","Jamaica","2803","1","939E33CA"
"7","C0F43128","GO701_21_2804","Far Rockaway","2804","0","939E33CA"
"7","C0F43128","GO701_21_2805","Jamaica","2805","1","939E33CA"
"7","C0F43128","GO701_21_2806","Far Rockaway","2806","0","7703FCEC"
"7","C0F43128","GO701_21_2807","Atlantic Terminal","2807","1","7703FCEC"
"7","C0F43128","GO701_21_2809","Penn Station","2809","1","A3EBB8CE"
"7","C0F43128","GO701_21_2810","Far Rockaway","2810","0","7703FCEC"
"7","C0F43128","GO701_21_2811","Atlantic Terminal","2811","1","7703FCEC"
"7","C0F43128","GO701_21_2812","Far Rockaway","2812","0","7703FCEC"
"7","C0F43128","GO701_21_2813","Penn Station","2813","1","A3EBB8CE"
"7","C0F43128","GO701_21_2814","Far Rockaway","2814","0","7703FCEC"
"7","C0F43128","GO701_21_2815","Penn Station","2815","1","A3EBB8CE"
"7","C0F43128","GO701_21_2816","Far Rockaway","2816","0","7703FCEC"
"7","C0F43128","GO701_21_2818","Far Rockaway","2818","0","7703FCEC"
"7","C0F43128","GO701_21_2819","Penn Station","2819","1","BED051CF"
"7","C0F43128","GO701_21_2820","Far Rockaway","2820","0","7703FCEC"
"7","C0F43128","GO701_21_2821","Penn Station","2821","1","A3EBB8CE"
"7","C0F43128","GO701_21_2825","Penn Station","2825","1","A3EBB8CE"
"7","C0F43128","GO701_21_2827","Atlantic Terminal","2827","1","3B0D077A"
"7","C0F43128","GO701_21_2829","Atlantic Terminal","2829","1","7703FCEC"
"7","C0F43128","GO701_21_2831","Atlantic Terminal","2831","1","7703FCEC"
"7","C0F43128","GO701_21_2833","Atlantic Terminal","2833","1","7703FCEC"
"7","C0F43128","GO701_21_2850","Far Rockaway","2850","0","7703FCEC"
"7","C0F43128","GO701_21_2851","Atlantic Terminal","2851","1","7703FCEC"
"7","C0F43128","GO701_21_2852","Far Rockaway","2852","0","7703FCEC"
